Animal,Date,Tissue,Percentage
G45T,4/5/21,Blood,1.6
DGA0,3/26/21,Blood,1.1
DGF5,4/5/21,Blood,5.43
DGF5,4/5/21,Bone Marrow,1.24
G45T,4/5/21,Spleen,7.62
DGF5,4/5/21,Spleen,3
G45T,4/5/21,Ax_LN,0.66
DGA0,3/26/21,Ax_LN,0.41
DGF5,4/5/21,Ax_LN,0.4
G45T,4/5/21,Ing_LN,0.56
DGA0,3/26/21,Ing_LN,0.62
DGF5,4/5/21,Ing_LN,0.36
DGA0,3/26/21,Mes_LN,0.23
G45T,4/5/21,Lung,4.3
G45T,4/5/21,Jejunum,5.7
D2C2,4/5/21,Blood,8.68
RC903,5/13/21,Blood,3.22
RQ2277,5/13/21,Blood,2.11
RQ2326,5/13/21,Blood,7.13
RQ2428,5/13/21,Blood,1.71
RQ6544,5/13/21,Blood,4.01
RQ7283,5/13/21,Blood,1.08
ZL12,5/13/21,Blood,6.93
A7X028,5/13/21,Bone Marrow,3.36
M96e019,5/13/21,Lymph Node,0.86
RQ6544,5/13/21,Lymph Node,0.95
D2C2,5/13/21,Lymph Node,0.17
RC903,5/13/21,Lymph Node,0.35
RQ2277,5/13/21,Lymph Node,0.23
RQ2326,5/13/21,Lymph Node,1.01
RQ2428,5/13/21,Lymph Node,0.16
RQ7283,5/13/21,Lymph Node,0.11
M96e019,5/13/21,Spleen,2.3
RC903,5/13/21,Spleen,2.39
RQ2277,5/13/21,Spleen,2.44
D2C2,5/13/21,Spleen,2.34
RQ7283,5/13/21,Spleen,0.67
ZL12,5/13/21,Spleen,0.85
RQ2326,5/13/21,Spleen,2.6
RQ2428,5/13/21,Spleen,1.93
RQ7283,5/13/21,Liver,2.38
D2C2,5/13/21,Liver,11.8
M96e019,5/13/21,Liver,6.44
RC903,5/13/21,Liver,5.8
RQ2326,5/13/21,Liver,5.96
RQ2428,5/13/21,Liver,3.58
RQ6544,5/13/21,Liver,10
RQ7283,5/13/21,Colon,0.46
RC903,5/13/21,Colon,2.78
A7Z028,5/13/21,Lung,2.39
JD76,10/23/18,Bone Marrow,6.07
JD76,10/23/18,Lymph Node,0.99
JD76,10/23/18,Blood,3.48
ZG41,2/5/19,Liver,4.19
ZG41,2/5/19,BAL,0.5
ZG41,2/5/19,Lymph Node,2.62
ZG41,2/5/19,Bone Marrow,1.3
ZG41,2/5/19,Blood,6
ZJ31,12/11/18,Blood,4
ZJ31,12/11/18,BAL,0.89
ZJ31,12/11/18,Liver,3.29
ZJ31,12/11/18,Bone Marrow,3.23
ZJ31,2/9/21,Lymph Node,0.5
ZJ31,2/9/21,Spleen,4.33
A9e016,4/23/21,Lung,3.22
HAXR,7/22/21,Blood,3.71
HAXR,7/22/21,Bone Marrow,4.81
HAXR,7/22/21,Lymph Node,0.64